canonical_name,location_name,model_version_name,model_algorithm,required_database_lookup,seafood_lookup_key,location_lookup_key,model_version_lookup_key
Bawal Hitam,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Bawal Hitam,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Bawal Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Bawal Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Cencaru,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Cencaru,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Demuduk / Cupak / Cermin,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Demuduk / Cupak / Cermin,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Ikan Merah,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Ikan Merah,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Jenahak,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Jenahak,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Kembung / Pelaling,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Kembung / Pelaling,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Kerisi,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Kerisi,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Pelata,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Pelata,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Selar Kuning,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Selar Kuning,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Siakap Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Siakap Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
Tenggiri,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,seafood_item_id + location_id + forecast_model_version_id + source_snapshot_id,Tenggiri,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1
