forecast_id,canonical_name,location_name,model_version_name,model_algorithm,forecast_engine_version,forecast_origin_date,forecast_week_start,horizon_weeks,current_reference_price,expected_price,lower_bound,upper_bound,outlook,directional_outlook_label,quality_status,generated_at
Bawal_Hitam_20260824,Bawal Hitam,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,28.99,28.67,28.01,29.34,AROUND_CURRENT_LEVELS,Likely to decrease,SPARSE_DATA,2026-08-30T22:48:38Z
Bawal_Hitam_20260831,Bawal Hitam,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,28.99,28.67,27.93,29.42,AROUND_CURRENT_LEVELS,Likely to decrease,SPARSE_DATA,2026-08-30T22:48:38Z
Bawal_Hitam_20260907,Bawal Hitam,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,28.99,28.67,27.86,29.49,AROUND_CURRENT_LEVELS,Likely to decrease,SPARSE_DATA,2026-08-30T22:48:38Z
Bawal_Hitam_20260914,Bawal Hitam,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,28.99,28.67,27.79,29.56,AROUND_CURRENT_LEVELS,Likely to decrease,SPARSE_DATA,2026-08-30T22:48:38Z
Bawal_Putih_20260824,Bawal Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,42,43.17,40.94,45.39,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Bawal_Putih_20260831,Bawal Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,42,43.17,40.88,45.45,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Bawal_Putih_20260907,Bawal Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-07,3,42,43.17,40.82,45.51,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Bawal_Putih_20260914,Bawal Putih,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-09-14,4,42,43.17,40.77,45.56,AROUND_CURRENT_LEVELS,Likely to increase,VALID,2026-08-30T22:48:38Z
Cencaru_20260824,Cencaru,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-24,1,10,10,9.1,10.9,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
Cencaru_20260831,Cencaru,Selangor,SukaSeafood Price Forecast Model Selection 2026-08-v1,MODEL_SELECTION_V1,2026-08-v1,2026-08-23,2026-08-31,2,10,10,9.1,10.9,AROUND_CURRENT_LEVELS,No strong directional signal,VALID,2026-08-30T22:48:38Z
