forecast_id,canonical_name,location,forecast_week,reference_week,reference_price,expected_price,lower_bound,upper_bound,outlook_label,directional_outlook_label,model_used,quality_status,generated_at,model_version
Bawal_Hitam_20260824,Bawal Hitam,Selangor,2026-08-24,2026-08-17,28.99,28.674152637478276,28.012623530826843,29.335681744129708,Around current levels,Likely to decrease,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Hitam_20260831,Bawal Hitam,Selangor,2026-08-31,2026-08-17,28.99,28.674152637478276,27.930432758998805,29.417872515957747,Around current levels,Likely to decrease,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Hitam_20260907,Bawal Hitam,Selangor,2026-09-07,2026-08-17,28.99,28.674152637478276,27.85646213591672,29.491843139039833,Around current levels,Likely to decrease,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Hitam_20260914,Bawal Hitam,Selangor,2026-09-14,2026-08-17,28.99,28.674152637478276,27.788649246721093,29.55965602823546,Around current levels,Likely to decrease,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260824,Bawal Putih,Selangor,2026-08-24,2026-08-17,42,43.16600029402535,40.94007571754202,45.39192487050868,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260831,Bawal Putih,Selangor,2026-08-31,2026-08-17,42,43.16600029402535,40.88118436072448,45.45081622732622,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260907,Bawal Putih,Selangor,2026-09-07,2026-08-17,42,43.16600029402535,40.823773260209336,45.50822732784137,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260914,Bawal Putih,Selangor,2026-09-14,2026-08-17,42,43.16600029402535,40.76773610782492,45.56426448022578,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Cencaru_20260824,Cencaru,Selangor,2026-08-24,2026-08-17,10,10,9.1,10.9,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Cencaru_20260831,Cencaru,Selangor,2026-08-31,2026-08-17,10,10,9.1,10.9,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Cencaru_20260907,Cencaru,Selangor,2026-09-07,2026-08-17,10,10,9.1,10.9,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Cencaru_20260914,Cencaru,Selangor,2026-09-14,2026-08-17,10,10,9.1,10.9,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Demuduk_Cupak_Cermin_20260824,Demuduk / Cupak / Cermin,Selangor,2026-08-24,2026-08-17,32,32.549330124963525,31.64056121408553,33.45809903584153,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Demuduk_Cupak_Cermin_20260831,Demuduk / Cupak / Cermin,Selangor,2026-08-31,2026-08-17,32,32.549330124963525,31.589418015872383,33.50924223405467,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Demuduk_Cupak_Cermin_20260907,Demuduk / Cupak / Cermin,Selangor,2026-09-07,2026-08-17,32,32.549330124963525,31.540862560957745,33.5577976889693,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Demuduk_Cupak_Cermin_20260914,Demuduk / Cupak / Cermin,Selangor,2026-09-14,2026-08-17,32,32.549330124963525,31.494537422542145,33.604122827384906,Around current levels,Likely to increase,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260824,Ikan Merah,Selangor,2026-08-24,2026-08-17,53.495000000000005,53.39021052188131,52.386034551237536,54.39438649252508,Around current levels,No strong directional signal,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260831,Ikan Merah,Selangor,2026-08-31,2026-08-17,53.495000000000005,53.47072585272382,52.42307452794023,54.5183771775074,Around current levels,No strong directional signal,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260907,Ikan Merah,Selangor,2026-09-07,2026-08-17,53.495000000000005,53.551241183566326,52.46182050785751,54.64066185927514,Around current levels,No strong directional signal,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260914,Ikan Merah,Selangor,2026-09-14,2026-08-17,53.495000000000005,53.631756514408835,52.50208322918762,54.76142979963005,Around current levels,No strong directional signal,"ETS(A,N,N)",SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
