canonical_name,quality_status,model_used,reference_week,reference_price,forecast_start,forecast_end,minimum_expected_price,maximum_expected_price,minimum_lower_bound,maximum_upper_bound
Bawal Hitam,SPARSE_DATA,"ETS(A,N,N)",2026-08-17,28.99,2026-08-24,2026-09-14,28.674152637478276,28.674152637478276,27.788649246721093,29.55965602823546
Bawal Putih,VALID,"ETS(A,N,N)",2026-08-17,42,2026-08-24,2026-09-14,43.16600029402535,43.16600029402535,40.76773610782492,45.56426448022578
Cencaru,VALID,NAIVE,2026-08-17,10,2026-08-24,2026-09-14,10,10,9.1,10.9
Demuduk / Cupak / Cermin,VALID,"ETS(A,N,N)",2026-08-17,32,2026-08-24,2026-09-14,32.549330124963525,32.549330124963525,31.494537422542145,33.604122827384906
Ikan Merah,SPARSE_DATA,"ETS(A,N,N)",2026-08-17,53.495000000000005,2026-08-24,2026-09-14,53.39021052188131,53.631756514408835,52.386034551237536,54.76142979963005
Jenahak,SPARSE_DATA,NAIVE,2026-08-17,45.99,2026-08-24,2026-09-14,45.99,45.99,45.14,46.84
Kembung / Pelaling,VALID,NAIVE,2026-08-17,15.9,2026-08-24,2026-09-14,15.9,15.9,14.895000000000001,16.905
Kerisi,VALID,"ETS(A,N,N)",2026-08-17,16.99,2026-08-24,2026-09-14,16.949820150279606,16.949820150279606,16.13184215162833,17.767798148930883
Pelata,VALID,NAIVE,2026-08-17,19.9,2026-08-24,2026-09-14,19.9,19.9,18.91,20.889999999999997
Selar Kuning,VALID,NAIVE,2026-08-17,13.395,2026-08-24,2026-09-14,13.395,13.395,12.784999999999998,14.005
Siakap Putih,SPARSE_DATA,NAIVE,2026-08-17,20,2026-08-24,2026-09-14,20,20,19.1,20.9
Tenggiri,SPARSE_DATA,NAIVE,2026-08-17,49.99,2026-08-24,2026-09-14,49.99,49.99,47.331,52.649
