forecast_id,canonical_name,location,quality_status,data_density,model_used,reference_week,reference_price,forecast_week,expected_price,lower_bound,upper_bound,range_width,expected_change,expected_change_pct,outlook,outlook_label,directional_outlook,directional_outlook_label,selected_strategy,validation_accuracy,validation_call_rate,strategy_change,direction_threshold,direction_evidence,generated_at,model_version
Bawal_Hitam_20260824,Bawal Hitam,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,28.99,2026-08-24,28.674152637478276,28.012623530826843,29.335681744129708,1.3230582133028648,-0.31584736252172263,-1.0895045274981865,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_DECREASE,Likely to decrease,model_signal,57.14285714285714,20.8955223880597,-0.31584736252172263,0.25,Validated directional strategy accuracy: 57.1%.,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Hitam_20260831,Bawal Hitam,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,28.99,2026-08-31,28.674152637478276,27.930432758998805,29.417872515957747,1.487439756958942,-0.31584736252172263,-1.0895045274981865,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_DECREASE,Likely to decrease,model_signal,57.14285714285714,20.8955223880597,-0.31584736252172263,0.25,Validated directional strategy accuracy: 57.1%.,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Hitam_20260907,Bawal Hitam,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,28.99,2026-09-07,28.674152637478276,27.85646213591672,29.491843139039833,1.6353810031231149,-0.31584736252172263,-1.0895045274981865,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_DECREASE,Likely to decrease,model_signal,57.14285714285714,20.8955223880597,-0.31584736252172263,0.25,Validated directional strategy accuracy: 57.1%.,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Hitam_20260914,Bawal Hitam,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,28.99,2026-09-14,28.674152637478276,27.788649246721093,29.55965602823546,1.771006781514366,-0.31584736252172263,-1.0895045274981865,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_DECREASE,Likely to decrease,model_signal,57.14285714285714,20.8955223880597,-0.31584736252172263,0.25,Validated directional strategy accuracy: 57.1%.,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260824,Bawal Putih,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,42,2026-08-24,43.16600029402535,40.94007571754202,45.39192487050868,4.451849152966659,1.166000294025352,2.7761911762508307,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_INCREASE,Likely to increase,model_signal,65.625,90.14084507042254,1.166000294025352,0.25,Validated directional strategy accuracy: 65.6%.,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260831,Bawal Putih,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,42,2026-08-31,43.16600029402535,40.88118436072448,45.45081622732622,4.569631866601739,1.166000294025352,2.7761911762508307,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_INCREASE,Likely to increase,model_signal,65.625,90.14084507042254,1.166000294025352,0.25,Validated directional strategy accuracy: 65.6%.,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260907,Bawal Putih,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,42,2026-09-07,43.16600029402535,40.823773260209336,45.50822732784137,4.684454067632032,1.166000294025352,2.7761911762508307,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_INCREASE,Likely to increase,model_signal,65.625,90.14084507042254,1.166000294025352,0.25,Validated directional strategy accuracy: 65.6%.,2026-08-30T22:48:38Z,2026-08-v1
Bawal_Putih_20260914,Bawal Putih,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,42,2026-09-14,43.16600029402535,40.76773610782492,45.56426448022578,4.796528372400857,1.166000294025352,2.7761911762508307,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_INCREASE,Likely to increase,model_signal,65.625,90.14084507042254,1.166000294025352,0.25,Validated directional strategy accuracy: 65.6%.,2026-08-30T22:48:38Z,2026-08-v1
Cencaru_20260824,Cencaru,Selangor,VALID,DENSE,NAIVE,2026-08-17,10,2026-08-24,10,9.1,10.9,1.8000000000000007,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Cencaru_20260831,Cencaru,Selangor,VALID,DENSE,NAIVE,2026-08-17,10,2026-08-31,10,9.1,10.9,1.8000000000000007,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
