cooking_suitability_id,seafood_item_id,fish_name,scientific_name,cooking_method_id,cooking_method_code,cooking_method,cooking_method_ms,suitability_score,reason_en,reason_ms,source,updated_at
35963831-66f9-517f-a7fa-2c857bf77c3b,292c1ed0-2215-5c67-ac1c-7710b3697741,Alaskan Pollock,Gadus chalcogrammus,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,5,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
c530660d-bf6b-5518-9f8c-10a8fd4b5f79,d150c6ad-d7e4-5c08-a5d2-f97302982eb6,Albacore Tuna,Thunnus alalunga,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,4,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
b5306601-cc7b-571e-b159-c536ac04dc04,8dfd2a08-9844-50b1-9b6f-2ff5b0c59323,Atlantic Bluefin Tuna,Thunnus thynnus,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,4,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
99e9673a-889d-5d92-a101-5b36095f2aab,f1dab74d-a855-5f5d-a9a2-c01b6c8033c0,Atlantic Cod,Gadus Morhua,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,5,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
08cd8df2-b449-5e06-a7ba-c6349c011bc8,453db1e5-0afa-55ab-8777-6cab90b6e60d,Atlantic Salmon,Salmo salar,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,5,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
da3d8fd7-5241-5d76-a4d6-871c48d378e5,e7f4f09f-f5c8-5362-9dd3-6f4b98b57b87,Bakulan,Katsuwonus pelamis,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,4,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
0bcd6bd1-b8dd-5389-b007-cd56d3ae0327,b378fd3b-a2bd-54f0-ae62-ec109d465d2d,Bawal Emas,Trachinotus blochii,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,4,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
91a83f0e-0e48-5a1f-937d-eb22a76ded25,3b4727fe-fcd7-568d-8edd-0d4862da14b9,Bawal Hitam,Parastromateus niger,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,4,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
5724a3f5-4f51-5d81-9aea-8385868c853b,6169fc2a-3362-5575-a0fd-c92fb029d921,Bawal Putih,Pampus chinensis,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,4,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
40364fd9-4fcb-5b89-8d5d-c9377758f4e1,bce9c332-bf1d-5145-bdb9-cf785810061b,Belanak,Valamugil cunnesius,b996ebe6-f1c5-5d22-878c-e1640b4e2037,BAKE,Bake,Bakar dalam Ketuhar,3,"Works well with enclosed oven heat, especially as a whole fish or thick cut.","Sesuai dibakar, terutama sebagai ikan seekor atau potongan tebal.",Generated suitability model; legacy scores preserved where confidently mapped.,2026-09-14T00:00:00Z
